Time,Used
43562.622685,105051624
43562.622731,106110472
43562.622777,101190096
43562.622939,94038408
43562.623101,103929168
43562.623249,89262032
43562.623294,101151376
43562.623413,85268400
43562.623575,80732592
43562.623737,105921888
43562.623899,110466936
43562.623992,98814704
43562.624038,103962832
43562.624084,107106440
43562.624323,101098512
43562.624485,107191944
43562.624647,112060272
43562.624809,89378960
43562.624971,83509688
43562.625133,106273936
43562.625288,97884200
43562.625335,93500072
43562.625496,86436840
43562.625581,106599944
43562.625743,102334856
43562.625789,87993008
43562.625836,95649616
43562.625998,90969208
43562.626044,108642408
43562.626149,96394160
43562.626195,102836560
43562.626241,113692040
43562.626288,111251160
43562.626334,95023688
43562.626496,111284176
43562.626563,110788600
43562.626609,109083256
43562.626655,89072880
43562.626702,95520288
43562.626748,90042360
43562.626830,108430600
43562.626912,105719360
43562.627005,112267496
43562.627167,111586024
43562.627329,104629808
43562.627376,117086424
43562.627488,115548800
43562.627650,101564080
43562.627812,99516624
43562.627974,46779448
43562.628074,38066976
43562.628120,79087552
43562.628203,64431400
43562.628298,60744416
43562.628344,74818792
43562.628416,42650184
43562.628463,50628600
43562.628534,114874960
43562.628696,41893736
43562.628858,106029248
43562.628928,87926960
43562.629090,108946864
43562.629252,94359888
43562.629414,53400016
43562.629576,107261440
43562.629739,129474480
43562.629901,107907256
43562.630063,50845616
43562.630225,124002368
43562.630387,173178664
43562.630549,42565712
43562.630658,160973280
43562.630703,92883704
43562.630749,79710584
43562.630795,100857112
43562.630842,128407416
43562.630888,146823464
43562.630934,153709712
43562.630981,127360312
43562.631027,201329232
43562.631073,127289376
43562.631120,96514584
43562.631166,103605872
43562.631212,117999104
43562.631259,118787560
43562.631305,117492072
43562.631351,105955056
43562.631398,95712504
43562.631444,83976520
43562.631490,68406488
43562.631652,123163848
43562.631814,164061400
43562.631976,183278208
43562.632138,164586160
43562.632284,53661008
43562.632448,249613600
43562.632608,212525832
43562.632770,172270320
43562.632932,136821872
43562.633094,65374896
43562.633256,237672064
43562.633418,146368976
43562.633580,279443160
43562.633742,163927776
43562.633904,51334960
43562.633950,239495960
43562.634112,120075056
43562.634275,264609344
43562.634437,89979872
43562.634599,84924224
43562.634682,161340912
43562.634728,298418784
43562.634775,206938912
43562.634821,118678040
43562.634867,312676944
43562.634914,191801696
43562.634960,102547728
43562.635006,292394792
43562.635053,204610296
43562.635099,114634464
43562.635145,306625376
43562.635191,223502256
43562.635238,121036192
43562.635284,314801264
43562.635331,219435304
43562.635493,302787776
43562.635655,94245192
43562.635817,148313248
43562.635871,71422560
43562.635977,221086584
43562.636023,95899344
43562.636185,169521368
43562.636348,231995296
43562.636395,109263448
43562.636440,263084072
43562.636514,239699240
43562.636561,54175000
43562.636607,215488128
43562.636653,47973552
43562.636700,179416416
43562.636746,279627744
43562.636792,148089320
43562.636839,285755480
43562.636885,92212456
43562.636931,231150280
43562.636978,73191440
